canonical_field,source_endpoints,example_raw_field,category,likely_use,priority,first_seen,last_seen
market_hours.future.MZL,market_hours,future.MZL,unknown,unknown,medium,,
market_hours.future.MZL.category,market_hours,future.MZL.category,unknown,unknown,medium,,
market_hours.future.MZL.date,market_hours,future.MZL.date,unknown,unknown,medium,,
market_hours.future.MZL.exchange,market_hours,future.MZL.exchange,unknown,unknown,low,,
market_hours.future.MZL.isOpen,market_hours,future.MZL.isOpen,market_hours,unknown,medium,,
market_hours.future.MZL.marketType,market_hours,future.MZL.marketType,unknown,unknown,medium,,
market_hours.future.MZL.product,market_hours,future.MZL.product,unknown,unknown,medium,,
market_hours.future.MZL.productName,market_hours,future.MZL.productName,unknown,unknown,medium,,
market_hours.future.MZL.sessionHours,market_hours,future.MZL.sessionHours,unknown,unknown,medium,,
market_hours.future.MZL.sessionHours.noTrading,market_hours,future.MZL.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.MZL.sessionHours.noTrading.*,market_hours,future.MZL.sessionHours.noTrading.7,unknown,unknown,medium,,
market_hours.future.MZL.sessionHours.noTrading.*.end,market_hours,future.MZL.sessionHours.noTrading.7.end,unknown,unknown,medium,,
market_hours.future.MZL.sessionHours.noTrading.*.start,market_hours,future.MZL.sessionHours.noTrading.7.start,unknown,unknown,medium,,
market_hours.future.MZL.sessionHours.regularMarket,market_hours,future.MZL.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.MZL.sessionHours.regularMarket.*,market_hours,future.MZL.sessionHours.regularMarket.3,unknown,unknown,medium,,
market_hours.future.MZL.sessionHours.regularMarket.*.end,market_hours,future.MZL.sessionHours.regularMarket.3.end,unknown,unknown,medium,,
market_hours.future.MZL.sessionHours.regularMarket.*.start,market_hours,future.MZL.sessionHours.regularMarket.3.start,unknown,unknown,medium,,
market_hours.future.MZM,market_hours,future.MZM,unknown,unknown,medium,,
market_hours.future.MZM.category,market_hours,future.MZM.category,unknown,unknown,medium,,
market_hours.future.MZM.date,market_hours,future.MZM.date,unknown,unknown,medium,,
market_hours.future.MZM.exchange,market_hours,future.MZM.exchange,unknown,unknown,low,,
market_hours.future.MZM.isOpen,market_hours,future.MZM.isOpen,market_hours,unknown,medium,,
market_hours.future.MZM.marketType,market_hours,future.MZM.marketType,unknown,unknown,medium,,
market_hours.future.MZM.product,market_hours,future.MZM.product,unknown,unknown,medium,,
market_hours.future.MZM.productName,market_hours,future.MZM.productName,unknown,unknown,medium,,
market_hours.future.MZM.sessionHours,market_hours,future.MZM.sessionHours,unknown,unknown,medium,,
market_hours.future.MZM.sessionHours.noTrading,market_hours,future.MZM.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.MZM.sessionHours.noTrading.*,market_hours,future.MZM.sessionHours.noTrading.7,unknown,unknown,medium,,
market_hours.future.MZM.sessionHours.noTrading.*.end,market_hours,future.MZM.sessionHours.noTrading.7.end,unknown,unknown,medium,,
market_hours.future.MZM.sessionHours.noTrading.*.start,market_hours,future.MZM.sessionHours.noTrading.7.start,unknown,unknown,medium,,
market_hours.future.MZM.sessionHours.regularMarket,market_hours,future.MZM.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.MZM.sessionHours.regularMarket.*,market_hours,future.MZM.sessionHours.regularMarket.3,unknown,unknown,medium,,
market_hours.future.MZM.sessionHours.regularMarket.*.end,market_hours,future.MZM.sessionHours.regularMarket.3.end,unknown,unknown,medium,,
market_hours.future.MZM.sessionHours.regularMarket.*.start,market_hours,future.MZM.sessionHours.regularMarket.3.start,unknown,unknown,medium,,
market_hours.future.MZS,market_hours,future.MZS,unknown,unknown,medium,,
market_hours.future.MZS.category,market_hours,future.MZS.category,unknown,unknown,medium,,
market_hours.future.MZS.date,market_hours,future.MZS.date,unknown,unknown,medium,,
market_hours.future.MZS.exchange,market_hours,future.MZS.exchange,unknown,unknown,low,,
market_hours.future.MZS.isOpen,market_hours,future.MZS.isOpen,market_hours,unknown,medium,,
market_hours.future.MZS.marketType,market_hours,future.MZS.marketType,unknown,unknown,medium,,
market_hours.future.MZS.product,market_hours,future.MZS.product,unknown,unknown,medium,,
market_hours.future.MZS.productName,market_hours,future.MZS.productName,unknown,unknown,medium,,
market_hours.future.MZS.sessionHours,market_hours,future.MZS.sessionHours,unknown,unknown,medium,,
market_hours.future.MZS.sessionHours.noTrading,market_hours,future.MZS.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.MZS.sessionHours.noTrading.*,market_hours,future.MZS.sessionHours.noTrading.7,unknown,unknown,medium,,
market_hours.future.MZS.sessionHours.noTrading.*.end,market_hours,future.MZS.sessionHours.noTrading.7.end,unknown,unknown,medium,,
market_hours.future.MZS.sessionHours.noTrading.*.start,market_hours,future.MZS.sessionHours.noTrading.7.start,unknown,unknown,medium,,
market_hours.future.MZS.sessionHours.regularMarket,market_hours,future.MZS.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.MZS.sessionHours.regularMarket.*,market_hours,future.MZS.sessionHours.regularMarket.3,unknown,unknown,medium,,
market_hours.future.MZS.sessionHours.regularMarket.*.end,market_hours,future.MZS.sessionHours.regularMarket.3.end,unknown,unknown,medium,,
market_hours.future.MZS.sessionHours.regularMarket.*.start,market_hours,future.MZS.sessionHours.regularMarket.3.start,unknown,unknown,medium,,
market_hours.future.MZW,market_hours,future.MZW,unknown,unknown,medium,,
market_hours.future.MZW.category,market_hours,future.MZW.category,unknown,unknown,medium,,
market_hours.future.MZW.date,market_hours,future.MZW.date,unknown,unknown,medium,,
market_hours.future.MZW.exchange,market_hours,future.MZW.exchange,unknown,unknown,low,,
market_hours.future.MZW.isOpen,market_hours,future.MZW.isOpen,market_hours,unknown,medium,,
market_hours.future.MZW.marketType,market_hours,future.MZW.marketType,unknown,unknown,medium,,
market_hours.future.MZW.product,market_hours,future.MZW.product,unknown,unknown,medium,,
market_hours.future.MZW.productName,market_hours,future.MZW.productName,unknown,unknown,medium,,
market_hours.future.MZW.sessionHours,market_hours,future.MZW.sessionHours,unknown,unknown,medium,,
market_hours.future.MZW.sessionHours.noTrading,market_hours,future.MZW.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.MZW.sessionHours.noTrading.*,market_hours,future.MZW.sessionHours.noTrading.7,unknown,unknown,medium,,
market_hours.future.MZW.sessionHours.noTrading.*.end,market_hours,future.MZW.sessionHours.noTrading.7.end,unknown,unknown,medium,,
market_hours.future.MZW.sessionHours.noTrading.*.start,market_hours,future.MZW.sessionHours.noTrading.7.start,unknown,unknown,medium,,
market_hours.future.MZW.sessionHours.regularMarket,market_hours,future.MZW.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.MZW.sessionHours.regularMarket.*,market_hours,future.MZW.sessionHours.regularMarket.3,unknown,unknown,medium,,
market_hours.future.MZW.sessionHours.regularMarket.*.end,market_hours,future.MZW.sessionHours.regularMarket.3.end,unknown,unknown,medium,,
market_hours.future.MZW.sessionHours.regularMarket.*.start,market_hours,future.MZW.sessionHours.regularMarket.3.start,unknown,unknown,medium,,
market_hours.future.NG,market_hours,future.NG,unknown,unknown,medium,,
market_hours.future.NG.category,market_hours,future.NG.category,unknown,unknown,medium,,
market_hours.future.NG.date,market_hours,future.NG.date,unknown,unknown,medium,,
market_hours.future.NG.exchange,market_hours,future.NG.exchange,unknown,unknown,low,,
market_hours.future.NG.isOpen,market_hours,future.NG.isOpen,market_hours,unknown,medium,,
market_hours.future.NG.marketType,market_hours,future.NG.marketType,unknown,unknown,medium,,
market_hours.future.NG.product,market_hours,future.NG.product,unknown,unknown,medium,,
market_hours.future.NG.productName,market_hours,future.NG.productName,unknown,unknown,medium,,
market_hours.future.NG.sessionHours,market_hours,future.NG.sessionHours,unknown,unknown,medium,,
market_hours.future.NG.sessionHours.noTrading,market_hours,future.NG.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.NG.sessionHours.noTrading.*,market_hours,future.NG.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.NG.sessionHours.noTrading.*.end,market_hours,future.NG.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.NG.sessionHours.noTrading.*.start,market_hours,future.NG.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.NG.sessionHours.regularMarket,market_hours,future.NG.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.NG.sessionHours.regularMarket.*,market_hours,future.NG.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.NG.sessionHours.regularMarket.*.end,market_hours,future.NG.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.NG.sessionHours.regularMarket.*.start,market_hours,future.NG.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.NKD,market_hours,future.NKD,unknown,unknown,medium,,
market_hours.future.NKD.category,market_hours,future.NKD.category,unknown,unknown,medium,,
market_hours.future.NKD.date,market_hours,future.NKD.date,unknown,unknown,medium,,
market_hours.future.NKD.exchange,market_hours,future.NKD.exchange,unknown,unknown,low,,
market_hours.future.NKD.isOpen,market_hours,future.NKD.isOpen,market_hours,unknown,medium,,
market_hours.future.NKD.marketType,market_hours,future.NKD.marketType,unknown,unknown,medium,,
market_hours.future.NKD.product,market_hours,future.NKD.product,unknown,unknown,medium,,
market_hours.future.NKD.productName,market_hours,future.NKD.productName,unknown,unknown,medium,,
market_hours.future.NKD.sessionHours,market_hours,future.NKD.sessionHours,unknown,unknown,medium,,
market_hours.future.NKD.sessionHours.noTrading,market_hours,future.NKD.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.NKD.sessionHours.noTrading.*,market_hours,future.NKD.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.NKD.sessionHours.noTrading.*.end,market_hours,future.NKD.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.NKD.sessionHours.noTrading.*.start,market_hours,future.NKD.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.NKD.sessionHours.regularMarket,market_hours,future.NKD.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.NKD.sessionHours.regularMarket.*,market_hours,future.NKD.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.NKD.sessionHours.regularMarket.*.end,market_hours,future.NKD.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.NKD.sessionHours.regularMarket.*.start,market_hours,future.NKD.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.NOK,market_hours,future.NOK,unknown,unknown,medium,,
market_hours.future.NOK.category,market_hours,future.NOK.category,unknown,unknown,medium,,
market_hours.future.NOK.date,market_hours,future.NOK.date,unknown,unknown,medium,,
market_hours.future.NOK.exchange,market_hours,future.NOK.exchange,unknown,unknown,low,,
market_hours.future.NOK.isOpen,market_hours,future.NOK.isOpen,market_hours,unknown,medium,,
market_hours.future.NOK.marketType,market_hours,future.NOK.marketType,unknown,unknown,medium,,
market_hours.future.NOK.product,market_hours,future.NOK.product,unknown,unknown,medium,,
market_hours.future.NOK.productName,market_hours,future.NOK.productName,unknown,unknown,medium,,
market_hours.future.NOK.sessionHours,market_hours,future.NOK.sessionHours,unknown,unknown,medium,,
market_hours.future.NOK.sessionHours.noTrading,market_hours,future.NOK.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.NOK.sessionHours.noTrading.*,market_hours,future.NOK.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.NOK.sessionHours.noTrading.*.end,market_hours,future.NOK.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.NOK.sessionHours.noTrading.*.start,market_hours,future.NOK.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.NOK.sessionHours.regularMarket,market_hours,future.NOK.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.NOK.sessionHours.regularMarket.*,market_hours,future.NOK.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.NOK.sessionHours.regularMarket.*.end,market_hours,future.NOK.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.NOK.sessionHours.regularMarket.*.start,market_hours,future.NOK.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.NQ,market_hours,future.NQ,unknown,unknown,medium,,
market_hours.future.NQ.category,market_hours,future.NQ.category,unknown,unknown,medium,,
market_hours.future.NQ.date,market_hours,future.NQ.date,unknown,unknown,medium,,
market_hours.future.NQ.exchange,market_hours,future.NQ.exchange,unknown,unknown,low,,
market_hours.future.NQ.isOpen,market_hours,future.NQ.isOpen,market_hours,unknown,medium,,
market_hours.future.NQ.marketType,market_hours,future.NQ.marketType,unknown,unknown,medium,,
market_hours.future.NQ.product,market_hours,future.NQ.product,unknown,unknown,medium,,
market_hours.future.NQ.productName,market_hours,future.NQ.productName,unknown,unknown,medium,,
market_hours.future.NQ.sessionHours,market_hours,future.NQ.sessionHours,unknown,unknown,medium,,
market_hours.future.NQ.sessionHours.noTrading,market_hours,future.NQ.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.NQ.sessionHours.noTrading.*,market_hours,future.NQ.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.NQ.sessionHours.noTrading.*.end,market_hours,future.NQ.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.NQ.sessionHours.noTrading.*.start,market_hours,future.NQ.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.NQ.sessionHours.regularMarket,market_hours,future.NQ.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.NQ.sessionHours.regularMarket.*,market_hours,future.NQ.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.NQ.sessionHours.regularMarket.*.end,market_hours,future.NQ.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.NQ.sessionHours.regularMarket.*.start,market_hours,future.NQ.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.PA,market_hours,future.PA,unknown,unknown,medium,,
market_hours.future.PA.category,market_hours,future.PA.category,unknown,unknown,medium,,
market_hours.future.PA.date,market_hours,future.PA.date,unknown,unknown,medium,,
market_hours.future.PA.exchange,market_hours,future.PA.exchange,unknown,unknown,low,,
market_hours.future.PA.isOpen,market_hours,future.PA.isOpen,market_hours,unknown,medium,,
market_hours.future.PA.marketType,market_hours,future.PA.marketType,unknown,unknown,medium,,
market_hours.future.PA.product,market_hours,future.PA.product,unknown,unknown,medium,,
market_hours.future.PA.productName,market_hours,future.PA.productName,unknown,unknown,medium,,
market_hours.future.PA.sessionHours,market_hours,future.PA.sessionHours,unknown,unknown,medium,,
market_hours.future.PA.sessionHours.noTrading,market_hours,future.PA.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.PA.sessionHours.noTrading.*,market_hours,future.PA.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.PA.sessionHours.noTrading.*.end,market_hours,future.PA.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.PA.sessionHours.noTrading.*.start,market_hours,future.PA.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.PA.sessionHours.regularMarket,market_hours,future.PA.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.PA.sessionHours.regularMarket.*,market_hours,future.PA.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.PA.sessionHours.regularMarket.*.end,market_hours,future.PA.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.PA.sessionHours.regularMarket.*.start,market_hours,future.PA.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.PL,market_hours,future.PL,unknown,unknown,medium,,
market_hours.future.PL.category,market_hours,future.PL.category,unknown,unknown,medium,,
market_hours.future.PL.date,market_hours,future.PL.date,unknown,unknown,medium,,
market_hours.future.PL.exchange,market_hours,future.PL.exchange,unknown,unknown,low,,
market_hours.future.PL.isOpen,market_hours,future.PL.isOpen,market_hours,unknown,medium,,
market_hours.future.PL.marketType,market_hours,future.PL.marketType,unknown,unknown,medium,,
market_hours.future.PL.product,market_hours,future.PL.product,unknown,unknown,medium,,
market_hours.future.PL.productName,market_hours,future.PL.productName,unknown,unknown,medium,,
market_hours.future.PL.sessionHours,market_hours,future.PL.sessionHours,unknown,unknown,medium,,
market_hours.future.PL.sessionHours.noTrading,market_hours,future.PL.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.PL.sessionHours.noTrading.*,market_hours,future.PL.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.PL.sessionHours.noTrading.*.end,market_hours,future.PL.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.PL.sessionHours.noTrading.*.start,market_hours,future.PL.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.PL.sessionHours.regularMarket,market_hours,future.PL.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.PL.sessionHours.regularMarket.*,market_hours,future.PL.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.PL.sessionHours.regularMarket.*.end,market_hours,future.PL.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.PL.sessionHours.regularMarket.*.start,market_hours,future.PL.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.PLN,market_hours,future.PLN,unknown,unknown,medium,,
market_hours.future.PLN.category,market_hours,future.PLN.category,unknown,unknown,medium,,
market_hours.future.PLN.date,market_hours,future.PLN.date,unknown,unknown,medium,,
market_hours.future.PLN.exchange,market_hours,future.PLN.exchange,unknown,unknown,low,,
market_hours.future.PLN.isOpen,market_hours,future.PLN.isOpen,market_hours,unknown,medium,,
market_hours.future.PLN.marketType,market_hours,future.PLN.marketType,unknown,unknown,medium,,
market_hours.future.PLN.product,market_hours,future.PLN.product,unknown,unknown,medium,,
market_hours.future.PLN.productName,market_hours,future.PLN.productName,unknown,unknown,medium,,
market_hours.future.PLN.sessionHours,market_hours,future.PLN.sessionHours,unknown,unknown,medium,,
market_hours.future.PLN.sessionHours.noTrading,market_hours,future.PLN.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.PLN.sessionHours.noTrading.*,market_hours,future.PLN.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.PLN.sessionHours.noTrading.*.end,market_hours,future.PLN.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.PLN.sessionHours.noTrading.*.start,market_hours,future.PLN.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.PLN.sessionHours.regularMarket,market_hours,future.PLN.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.PLN.sessionHours.regularMarket.*,market_hours,future.PLN.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.PLN.sessionHours.regularMarket.*.end,market_hours,future.PLN.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.PLN.sessionHours.regularMarket.*.start,market_hours,future.PLN.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.QC,market_hours,future.QC,unknown,unknown,medium,,
market_hours.future.QC.category,market_hours,future.QC.category,unknown,unknown,medium,,
market_hours.future.QC.date,market_hours,future.QC.date,unknown,unknown,medium,,
market_hours.future.QC.exchange,market_hours,future.QC.exchange,unknown,unknown,low,,
market_hours.future.QC.isOpen,market_hours,future.QC.isOpen,market_hours,unknown,medium,,
market_hours.future.QC.marketType,market_hours,future.QC.marketType,unknown,unknown,medium,,
market_hours.future.QC.product,market_hours,future.QC.product,unknown,unknown,medium,,
market_hours.future.QC.productName,market_hours,future.QC.productName,unknown,unknown,medium,,
market_hours.future.QC.sessionHours,market_hours,future.QC.sessionHours,unknown,unknown,medium,,
market_hours.future.QC.sessionHours.noTrading,market_hours,future.QC.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.QC.sessionHours.noTrading.*,market_hours,future.QC.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.QC.sessionHours.noTrading.*.end,market_hours,future.QC.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.QC.sessionHours.noTrading.*.start,market_hours,future.QC.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.QC.sessionHours.regularMarket,market_hours,future.QC.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.QC.sessionHours.regularMarket.*,market_hours,future.QC.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.QC.sessionHours.regularMarket.*.end,market_hours,future.QC.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.QC.sessionHours.regularMarket.*.start,market_hours,future.QC.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.QG,market_hours,future.QG,unknown,unknown,medium,,
market_hours.future.QG.category,market_hours,future.QG.category,unknown,unknown,medium,,
market_hours.future.QG.date,market_hours,future.QG.date,unknown,unknown,medium,,
market_hours.future.QG.exchange,market_hours,future.QG.exchange,unknown,unknown,low,,
market_hours.future.QG.isOpen,market_hours,future.QG.isOpen,market_hours,unknown,medium,,
market_hours.future.QG.marketType,market_hours,future.QG.marketType,unknown,unknown,medium,,
market_hours.future.QG.product,market_hours,future.QG.product,unknown,unknown,medium,,
market_hours.future.QG.productName,market_hours,future.QG.productName,unknown,unknown,medium,,
market_hours.future.QG.sessionHours,market_hours,future.QG.sessionHours,unknown,unknown,medium,,
market_hours.future.QG.sessionHours.noTrading,market_hours,future.QG.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.QG.sessionHours.noTrading.*,market_hours,future.QG.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.QG.sessionHours.noTrading.*.end,market_hours,future.QG.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.QG.sessionHours.noTrading.*.start,market_hours,future.QG.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.QG.sessionHours.regularMarket,market_hours,future.QG.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.QG.sessionHours.regularMarket.*,market_hours,future.QG.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.QG.sessionHours.regularMarket.*.end,market_hours,future.QG.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.QG.sessionHours.regularMarket.*.start,market_hours,future.QG.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.QH,market_hours,future.QH,unknown,unknown,medium,,
market_hours.future.QH.category,market_hours,future.QH.category,unknown,unknown,medium,,
market_hours.future.QH.date,market_hours,future.QH.date,unknown,unknown,medium,,
market_hours.future.QH.exchange,market_hours,future.QH.exchange,unknown,unknown,low,,
market_hours.future.QH.isOpen,market_hours,future.QH.isOpen,market_hours,unknown,medium,,
market_hours.future.QH.marketType,market_hours,future.QH.marketType,unknown,unknown,medium,,
market_hours.future.QH.product,market_hours,future.QH.product,unknown,unknown,medium,,
market_hours.future.QH.productName,market_hours,future.QH.productName,unknown,unknown,medium,,
market_hours.future.QH.sessionHours,market_hours,future.QH.sessionHours,unknown,unknown,medium,,
market_hours.future.QH.sessionHours.noTrading,market_hours,future.QH.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.QH.sessionHours.noTrading.*,market_hours,future.QH.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.QH.sessionHours.noTrading.*.end,market_hours,future.QH.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.QH.sessionHours.noTrading.*.start,market_hours,future.QH.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.QH.sessionHours.regularMarket,market_hours,future.QH.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.QH.sessionHours.regularMarket.*,market_hours,future.QH.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.QH.sessionHours.regularMarket.*.end,market_hours,future.QH.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.QH.sessionHours.regularMarket.*.start,market_hours,future.QH.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.QI,market_hours,future.QI,unknown,unknown,medium,,
market_hours.future.QI.category,market_hours,future.QI.category,unknown,unknown,medium,,
market_hours.future.QI.date,market_hours,future.QI.date,unknown,unknown,medium,,
market_hours.future.QI.exchange,market_hours,future.QI.exchange,unknown,unknown,low,,
market_hours.future.QI.isOpen,market_hours,future.QI.isOpen,market_hours,unknown,medium,,
market_hours.future.QI.marketType,market_hours,future.QI.marketType,unknown,unknown,medium,,
market_hours.future.QI.product,market_hours,future.QI.product,unknown,unknown,medium,,
market_hours.future.QI.productName,market_hours,future.QI.productName,unknown,unknown,medium,,
market_hours.future.QI.sessionHours,market_hours,future.QI.sessionHours,unknown,unknown,medium,,
market_hours.future.QI.sessionHours.noTrading,market_hours,future.QI.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.QI.sessionHours.noTrading.*,market_hours,future.QI.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.QI.sessionHours.noTrading.*.end,market_hours,future.QI.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.QI.sessionHours.noTrading.*.start,market_hours,future.QI.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.QI.sessionHours.regularMarket,market_hours,future.QI.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.QI.sessionHours.regularMarket.*,market_hours,future.QI.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.QI.sessionHours.regularMarket.*.end,market_hours,future.QI.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.QI.sessionHours.regularMarket.*.start,market_hours,future.QI.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.QM,market_hours,future.QM,unknown,unknown,medium,,
market_hours.future.QM.category,market_hours,future.QM.category,unknown,unknown,medium,,
market_hours.future.QM.date,market_hours,future.QM.date,unknown,unknown,medium,,
market_hours.future.QM.exchange,market_hours,future.QM.exchange,unknown,unknown,low,,
market_hours.future.QM.isOpen,market_hours,future.QM.isOpen,market_hours,unknown,medium,,
market_hours.future.QM.marketType,market_hours,future.QM.marketType,unknown,unknown,medium,,
market_hours.future.QM.product,market_hours,future.QM.product,unknown,unknown,medium,,
market_hours.future.QM.productName,market_hours,future.QM.productName,unknown,unknown,medium,,
market_hours.future.QM.sessionHours,market_hours,future.QM.sessionHours,unknown,unknown,medium,,
market_hours.future.QM.sessionHours.noTrading,market_hours,future.QM.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.QM.sessionHours.noTrading.*,market_hours,future.QM.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.QM.sessionHours.noTrading.*.end,market_hours,future.QM.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.QM.sessionHours.noTrading.*.start,market_hours,future.QM.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.QM.sessionHours.regularMarket,market_hours,future.QM.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.QM.sessionHours.regularMarket.*,market_hours,future.QM.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.QM.sessionHours.regularMarket.*.end,market_hours,future.QM.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.QM.sessionHours.regularMarket.*.start,market_hours,future.QM.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.QO,market_hours,future.QO,unknown,unknown,medium,,
market_hours.future.QO.category,market_hours,future.QO.category,unknown,unknown,medium,,
market_hours.future.QO.date,market_hours,future.QO.date,unknown,unknown,medium,,
market_hours.future.QO.exchange,market_hours,future.QO.exchange,unknown,unknown,low,,
market_hours.future.QO.isOpen,market_hours,future.QO.isOpen,market_hours,unknown,medium,,
market_hours.future.QO.marketType,market_hours,future.QO.marketType,unknown,unknown,medium,,
